,City,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Description,Wind_Speed,Country,Date
124,tangzhai,34.43,116.59,21.670000000000016,71,0,clear sky,3.03,CN,2020-05-10 02:27:57
125,namibe,-15.2,12.15,26.560000000000002,50,72,broken clouds,0.8,AO,2020-05-10 02:27:58
126,wuwei,37.93,102.64,15.560000000000002,26,46,scattered clouds,1.34,CN,2020-05-10 02:27:58
127,thompson,55.74,-97.86,0.0,94,75,broken clouds,8.2,CA,2020-05-10 02:25:08
128,kruisfontein,-34.0,24.73,16.379999999999995,41,0,clear sky,3.19,ZA,2020-05-10 02:27:28
129,shikhany,52.12,47.22,8.170000000000016,92,39,scattered clouds,3.89,RU,2020-05-10 02:27:59
130,salumbar,24.13,74.05,31.350000000000023,26,0,clear sky,0.62,IN,2020-05-10 02:28:00
131,barrow,71.29,-156.79,-1.0,92,1,clear sky,2.6,US,2020-05-10 02:28:00
132,kawardha,22.02,81.25,34.26000000000005,13,0,clear sky,1.19,IN,2020-05-10 02:28:00
133,sabang,5.89,95.32,27.28000000000003,81,100,overcast clouds,3.35,ID,2020-05-10 02:28:01
134,jiancheng,30.39,104.55,27.220000000000027,38,0,clear sky,4.0,CN,2020-05-10 02:28:01
135,nyrob,60.73,56.72,13.330000000000041,69,0,clear sky,2.19,RU,2020-05-10 02:28:01
136,guerrero negro,27.98,-114.06,19.670000000000016,75,0,clear sky,7.9,MX,2020-05-10 02:28:02
137,chuy,-33.7,-53.46,13.629999999999995,75,0,clear sky,4.28,UY,2020-05-10 02:27:37
138,fort nelson,58.81,-122.7,12.0,30,40,scattered clouds,5.1,CA,2020-05-10 02:28:03
139,lompoc,34.64,-120.46,15.560000000000002,93,90,overcast clouds,2.1,US,2020-05-10 02:27:27
140,champerico,14.3,-91.92,29.920000000000016,73,89,overcast clouds,3.0,GT,2020-05-10 02:28:04
141,arraial do cabo,-22.97,-42.03,21.840000000000032,66,0,clear sky,6.06,BR,2020-05-10 02:28:04
142,bubaque,11.28,-15.83,25.560000000000002,74,100,overcast clouds,4.77,GW,2020-05-10 02:28:05
143,rio gallegos,-51.62,-69.22,4.0,100,90,fog,0.5,AR,2020-05-10 02:28:05
144,saint george,32.38,-64.68,22.0,78,75,broken clouds,8.2,BM,2020-05-10 02:28:05
145,cayenne,4.93,-52.33,25.0,100,43,light rain,4.64,GF,2020-05-10 02:28:06
146,sciacca,37.51,13.09,18.33000000000004,43,100,overcast clouds,1.79,IT,2020-05-10 02:28:06
